,location,voters,spoiltvotes,votes,Зеленський Володимир,Порошенко Петро,tvk,region
772,142361,1061,13,597,549,48,142361,Донецька область
773,142362,1008,17,593,554,39,142362,Донецька область
774,142363,1468,22,936,863,73,142363,Донецька область
775,142364,1434,16,851,780,71,142364,Донецька область
776,142365,1548,31,871,812,59,142365,Донецька область
777,142366,1642,21,933,856,77,142366,Донецька область
778,142367,1681,10,1069,990,79,142367,Донецька область
779,142368,1718,23,1023,939,84,142368,Донецька область
780,142369,1837,8,709,667,42,142369,Донецька область
781,142370,1784,22,1008,936,72,142370,Донецька область
782,142371,1036,12,618,582,36,142371,Донецька область
783,142372,1256,19,755,703,52,142372,Донецька область
784,142373,1192,25,725,656,69,142373,Донецька область
785,142374,1099,17,649,608,41,142374,Донецька область
786,142375,1248,12,743,681,62,142375,Донецька область
787,142376,1124,14,668,612,56,142376,Донецька область
788,142377,1632,11,770,728,42,142377,Донецька область
789,142378,1329,17,737,691,46,142378,Донецька область
790,142379,1337,17,808,751,57,142379,Донецька область
791,142380,1365,11,838,793,45,142380,Донецька область
792,142381,1718,21,1022,965,57,142381,Донецька область
793,142382,1694,22,1009,935,74,142382,Донецька область
794,142383,1449,22,753,705,48,142383,Донецька область
795,142384,1535,25,922,847,75,142384,Донецька область
796,142385,1747,14,957,898,59,142385,Донецька область
797,142386,1651,20,883,832,51,142386,Донецька область
798,142387,2080,31,1187,1090,97,142387,Донецька область
799,142388,1776,24,1097,1022,75,142388,Донецька область
800,142389,1784,17,1078,1003,75,142389,Донецька область
801,142390,1056,16,637,597,40,142390,Донецька область
802,142391,1165,15,690,640,50,142391,Донецька область
803,142392,1286,23,751,697,54,142392,Донецька область
804,142393,1623,20,897,839,58,142393,Донецька область
805,142394,1825,26,1028,957,71,142394,Донецька область
806,142395,1914,24,1104,1039,65,142395,Донецька область
807,142396,1685,20,984,912,72,142396,Донецька область
808,142397,1579,18,984,935,49,142397,Донецька область
809,142398,1485,15,910,862,48,142398,Донецька область
810,142399,2005,32,1121,1050,71,142399,Донецька область
811,142400,1148,14,715,677,38,142400,Донецька область
812,142401,1446,16,861,810,51,142401,Донецька область
813,142402,2149,29,1230,1170,60,142402,Донецька область
814,142403,2380,31,1370,1299,71,142403,Донецька область
815,142404,1409,19,803,745,58,142404,Донецька область
816,142405,2129,26,1218,1142,76,142405,Донецька область
817,142406,1436,21,872,812,60,142406,Донецька область
818,142407,2119,26,1237,1172,65,142407,Донецька область
819,142408,118,1,106,96,10,142408,Донецька область
820,142409,60,1,58,54,4,142409,Донецька область
821,142410,126,0,93,85,8,142410,Донецька область
822,142411,177,10,164,145,19,142411,Донецька область
823,142227,1048,16,541,519,22,142227,Донецька область
824,142228,1180,8,560,552,8,142228,Донецька область
825,142229,1459,15,891,819,72,142229,Донецька область
826,142230,1462,19,908,861,47,142230,Донецька область
827,142231,1173,11,608,576,32,142231,Донецька область
828,142232,1917,19,1212,1130,82,142232,Донецька область
829,142233,1894,29,1006,928,78,142233,Донецька область
830,142234,1214,16,785,736,49,142234,Донецька область
831,142235,2028,29,1282,1164,118,142235,Донецька область
832,142236,2273,16,1140,1040,100,142236,Донецька область
833,142237,1103,20,645,583,62,142237,Донецька область
834,142238,1071,19,629,524,105,142238,Донецька область
835,142239,2213,48,1326,1174,152,142239,Донецька область
836,142240,1591,14,855,764,91,142240,Донецька область
837,142241,682,8,385,331,54,142241,Донецька область
838,142242,1982,25,1122,1015,107,142242,Донецька область
839,142243,1279,20,725,623,102,142243,Донецька область
840,142244,1792,33,1073,925,148,142244,Донецька область
841,142245,1462,31,855,786,69,142245,Донецька область
842,142246,1549,22,890,799,91,142246,Донецька область
843,142247,1257,18,773,688,85,142247,Донецька область
844,142248,1682,22,1032,927,105,142248,Донецька область
845,142249,2039,26,1175,1079,96,142249,Донецька область
846,142250,1455,27,849,780,69,142250,Донецька область
847,142251,1152,16,719,669,50,142251,Донецька область
848,142252,1995,29,1358,1243,115,142252,Донецька область
849,142253,2119,29,1266,1150,116,142253,Донецька область
850,142254,1846,35,1153,1062,91,142254,Донецька область
851,142255,1852,22,1083,977,106,142255,Донецька область
852,142256,1869,26,1100,1012,88,142256,Донецька область
853,142257,1924,21,1198,1093,105,142257,Донецька область
854,142258,968,22,567,512,55,142258,Донецька область
855,142259,2192,28,1335,1221,114,142259,Донецька область
856,142260,2061,25,1219,1108,111,142260,Донецька область
857,142261,2011,13,1218,1128,90,142261,Донецька область
858,142262,2002,24,1220,1125,95,142262,Донецька область
859,142263,2032,27,1275,1158,117,142263,Донецька область
860,142264,1973,29,1208,1107,101,142264,Донецька область
861,142265,939,9,595,548,47,142265,Донецька область
862,142266,1905,29,1222,1133,89,142266,Донецька область
863,142267,1562,23,944,873,71,142267,Донецька область
864,142268,2044,26,1307,1198,109,142268,Донецька область
865,142269,2100,36,1207,1130,77,142269,Донецька область
866,142270,2193,24,1323,1213,110,142270,Донецька область
867,142271,1176,7,652,614,38,142271,Донецька область
868,142272,1754,22,1111,1017,94,142272,Донецька область
869,142273,1987,33,1304,1218,86,142273,Донецька область
870,142274,1930,22,1156,1070,86,142274,Донецька область
871,142275,1797,23,1113,1029,84,142275,Донецька область
872,142276,1817,21,1109,1026,83,142276,Донецька область
873,142277,1851,11,1182,1102,80,142277,Донецька область
874,142278,2044,27,1197,1112,85,142278,Донецька область
875,142279,1442,13,874,792,82,142279,Донецька область
876,142280,1953,26,1208,1116,92,142280,Донецька область
877,142281,2173,40,1338,1249,89,142281,Донецька область
878,142282,2198,26,1335,1236,99,142282,Донецька область
879,142283,2035,30,1209,1116,93,142283,Донецька область
880,142284,1817,20,1090,1039,51,142284,Донецька область
881,142285,2073,31,1306,1225,81,142285,Донецька область
882,142286,2080,29,1366,1278,88,142286,Донецька область
883,142287,1381,20,809,763,46,142287,Донецька область
884,142288,1216,12,677,645,32,142288,Донецька область
885,142289,2053,22,1128,1036,92,142289,Донецька область
886,142290,1272,7,681,642,39,142290,Донецька область
887,142291,1328,8,721,675,46,142291,Донецька область
888,142292,1955,23,1121,1066,55,142292,Донецька область
889,142293,144,3,95,87,8,142293,Донецька область
890,142294,16,0,16,14,2,142294,Донецька область
891,142295,32,1,30,27,3,142295,Донецька область
892,142296,90,0,77,70,7,142296,Донецька область
893,142412,1658,19,899,824,75,142412,Донецька область
894,142413,932,9,564,503,61,142413,Донецька область
895,142414,1415,13,868,788,80,142414,Донецька область
896,142415,1717,34,939,845,94,142415,Донецька область
897,142416,1765,26,1021,907,114,142416,Донецька область
898,142417,1591,20,935,861,74,142417,Донецька область
899,142418,1303,29,712,653,59,142418,Донецька область
900,142419,1857,38,1026,954,72,142419,Донецька область
901,142420,1528,26,948,868,80,142420,Донецька область
902,142421,1618,36,928,824,104,142421,Донецька область
903,142422,1593,35,887,802,85,142422,Донецька область
904,142423,1616,10,877,784,93,142423,Донецька область
905,142424,1351,9,775,715,60,142424,Донецька область
906,142425,1931,23,1167,1079,88,142425,Донецька область
907,142426,2000,21,1217,1125,92,142426,Донецька область
908,142427,1231,18,680,626,54,142427,Донецька область
909,142428,2114,29,1268,1141,127,142428,Донецька область
910,142429,2069,28,1263,1141,122,142429,Донецька область
911,142430,1243,17,688,614,74,142430,Донецька область
912,142431,1671,24,930,862,68,142431,Донецька область
913,142432,1497,17,818,750,68,142432,Донецька область
914,142433,1681,10,907,798,109,142433,Донецька область
915,142434,1185,17,606,571,35,142434,Донецька область
916,142435,1877,28,1183,1072,111,142435,Донецька область
917,142436,1723,13,902,852,50,142436,Донецька область
918,142437,1763,28,861,785,76,142437,Донецька область
919,142438,30,0,27,15,12,142438,Донецька область
920,142439,134,1,115,103,12,142439,Донецька область
921,1,137,7,121,87,34,1,Донецька область
922,2,167,1,166,44,122,2,Донецька область
923,3,260,21,233,33,200,3,Донецька область
924,4,163,1,162,31,131,4,Донецька область
925,5,228,10,216,25,191,5,Донецька область
926,6,266,5,260,15,245,6,Донецька область
927,7,83,0,83,23,60,7,Донецька область
928,8,325,6,307,126,181,8,Донецька область
929,9,875,101,767,363,404,9,Донецька область
930,10,346,22,316,82,234,10,Донецька область
931,11,294,10,283,135,148,11,Донецька область
932,12,251,23,227,92,135,12,Донецька область
933,13,380,14,360,125,235,13,Донецька область
934,14,100,4,96,37,59,14,Донецька область
935,15,604,17,587,280,307,15,Донецька область
936,140087,868,13,446,386,60,140087,Донецька область
937,140088,1388,17,934,743,191,140088,Донецька область
938,140089,1959,21,1063,938,125,140089,Донецька область
939,140090,1417,26,778,714,64,140090,Донецька область
940,140091,879,17,546,460,86,140091,Донецька область
941,140093,491,8,300,231,69,140093,Донецька область
942,140094,477,4,321,257,64,140094,Донецька область
